Denumire,Raion,Amplasare,Proprietar,Suprafata,Coordonate,Categorie,Subcategorie,Diversitatea_fitocenotica
Pogăneşti,Hînceşti,"La vest de satul Sărata-Răzeşi (raionul Leova), ocolul silvic Cărpineni, Pogăneşti-II, parcela 14, subparcelele 1, 4-7",Gospodăria Silvică de Stat Hînceşti,203,46.678361°N 28.228158°E,Rezervaţiile Naturale,Silvice
Moleşti,Ialoveni,"La 2 km sud de satul Moleşti, ocolul silvic Răzeni, Vila Moleşti – Răzeni, parcela 11, subparcela 1; parcela 12, subparcela 3",Gospodăria Silvică de Stat Cimişlia,5,46.777344°N 28.756848°E,Rezervaţiile Naturale,Silvice
Sector-etalon de pădure,Ialoveni,"Între satele Malcoci şi Condriţa, ocolul silvic de scumpie Scoreni, Scoreni, parcela 22, subparcelele 1, 2, 4, 7; parcela 23, subparcela 3",Gospodăria Silvică de Stat Străşeni,"110,2",47.041228°N 28.613404°E,Rezervaţiile Naturale,Silvice
Ostianova,Leova,"Ocolul silvic Hîrtop, Ostianova, parcelele 23-26",Gospodăria Silvică de Stat Iargara,"211,2",46.469846°N 28.519014°E,Rezervaţiile Naturale,Silvice
Selişte-Leu,Nisporeni,"Ocolul silvic Păruceni, Selişte-Leu, parcela 27-30",Gospodăria Silvică de Stat Nisporeni,315,47.11183°N 28.091576°E,Rezervaţiile Naturale,Silvice
Cabac,Nisporeni,"Ocolul silvic Iurceni, Cabac, parcela 7, subparcela 17; parcela 8, subparcela 20; parcela 11, subparcela 6",Gospodăria Silvică de Stat Nisporeni,"24,7",47.184581°N 28.143518°E,Rezervaţiile Naturale,Silvice
Zberoaia – Lunca,Nisporeni,"Ocolul silvic Grozeşti, Zberoaia-Lunca parcela 8, subparcelele 1-41",Gospodăria Silvică de Stat Nisporeni,"147,9",46.965278°N 28.09°E,Rezervaţiile Naturale,Silvice
Ocniţa,Ocniţa,"Ocolul silvic Ocniţa, Ocniţa, parcela 16",Gospodăria Silvică de Stat Edineţ,103,48.384366°N 27.381234°E,Rezervaţiile Naturale,Silvice
Mestecăniş,Ocniţa,"Ocolul silvic Ocniţa, Mestecăniş, parcela 9",Gospodăria Silvică de Stat Edineţ,44,48.407617°N 27.387706°E,Rezervaţiile Naturale,Silvice
Climăuţi,Ocniţa,"Ocolul silvic Ocniţa, Climăuţi, parcela 50",Gospodăria Silvică de Stat Edineţ,70,48.36521°N 27.579188°E,Rezervaţiile Naturale,Silvice
Cobîleni,Orhei,"Ocolul silvic Susleni, Cobîleni, parcela 1, subparcela 2; parcela 2, subparcelele 1, 3",Gospodăria Silvică de Stat Orhei,"33,5",47.52°N 29.,Rezervaţiile Naturale,Silvice
