Denumire,Raion,Amplasare,Proprietar,Suprafata,Coordonate,Categorie,Subcategorie,Diversitatea_fitocenotica
Lacurile Prutului de Jos (nr.1029 în Lista Ramsar),Cahul,Raionul Cahul,Autoritatea centrală pentru mediu; Agenţia pentru Silvicultură 'Moldsilva'; Concernul Republican pentru Gospodărirea Apelor 'Apele Moldovei'; autorităţile administraţiei publice locale; alţi deţinători de terenuri,19152.5,,Zonele umede de importanţă internaţională
Nistrul de Jos (nr.1316 în Lista Ramsar),"Căuşeni, Ştefan Vodă, unitatea teritorială din stînga Nistrului","Raioanele Căuşeni şi Ştefan Vodă, Unitatea teritorială din stînga Nistrului",Agenţia pentru Silvicultură 'Moldsilva'; Concernul Republican pentru Gospodărirea Apelor 'Apele Moldovei'; autorităţile administraţiei publice locale; alţi deţinători de terenuri,60000.0,,Zonele umede de importanţă internaţională
Unguri–Holoşniţa (nr.1500 în Lista Ramsar),"Ocniţa, Donduşeni, Soroca","Raioanele Ocniţa, Donduşeni şi Soroca",Agenţia pentru Silvicultură 'Moldsilva'; Concernul Republican pentru Gospodărirea Apelor 'Apele Moldovei'; autorităţile administraţiei publice locale; alţi deţinători de terenuri,15553.0,,Zonele umede de importanţă internaţională
