ID,Denumirea_stiintifică,Denumirea_populară,Clasa,Familia,Habitat,Localitatea,Silvice,Pajisti_sau_stepice,Stancarii,Palustre_si_acvatice,P_rară,Conventia_Berna,Directiva_Habitate,RM_Cartea_R_2015,Frcevența
P_224,Aurinia saxatilis (L.) Desv.,Aurinie saxicolă,Magnoliopsida,Brassicaceae,,, , ,+, ,,,,,R
P_225,Armoracia rusticana P. Gaertn.,Hrean obișnuit,Magnoliopsida,Brassicaceae,,, , , , ,,,,,C
P_226,Barbarea vulgaris R.Br.,Crușețea comună,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_227,Berteroa incana (L.) DC.,Albiță comună,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_228,Bunias orientalis L.,Brăbin oriental,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_229,Capsella bursa-pastoris (L.) Medik.,Traista ciobanului,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_230,Cardamine impatiens L.,Râjnică intolerantă,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_231,Cardaria draba (L.) Desv.,Hreniță draboidă,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_232,Crambe tataria Sebeok,Hodolean tătăresc,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,RR
P_233,Dentaria bulbifera L.,Colțișor bulbifer,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_234,Dentaria quinquefolia Bieb.,Colțișor pentafoliat,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,RR
P_235,Descurainia sophia (L.)Webb ex Prantl,Voinicuță Sofia,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_236,Draba nemorosa L.,Flămânzică nemorală,Magnoliopsida,Brassicaceae,,, +,+, , ,,,,,C
P_237,Erophila verna (L.) Chevall.,Năpârliță vernală,Magnoliopsida,Brassicaceae,,, ,+,+, ,,,,,C
P_238,Erysimum diffusum Ehrh.,Mixandră difuză,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_239,Erysimum odoratum Ehrh.,Mixandră odorată,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_240,Hesperis tristis L.,Nopticoasă tristă,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_241,Lepidium campestre (L.) R. Br.,Scvamăriță campestră,Magnoliopsida,Brassicaceae,,, ,+,+, ,,,,,C
P_242,Lepidium ruderale L.,Scvamăriță ruderală,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_243,Lunaria annua L.,Lopățea anuală,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,R 
P_244,Rapistrum perenne (L.) All.,Ciurlan peren,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_245,Rorippa austriaca (Crantz) ,Gălbănea austriacă,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_246,Rorippa palustris L.,Gălbănea palustră,Magnoliopsida,Brassicaceae,,, , , ,+,,,,,C
P_247,Rorippa sylvestris (L.) Bess. ,Gălbănea silvicolă,Magnoliopsida,Brassicaceae,,, +,+, , ,,,,,C
P_248,Schivereckia podolica (Bess.) Andrz.,Șeverechie podoleană,Magnoliopsida,Brassicaceae,,, , ,+, ,,,,,RR
P_249,Sisymbrium altissimum L. ,Voinicică înaltă,Magnoliopsida,Brassicaceae,,, , , , ,,,,,C
P_250,Sisymbrium loeselii L. ,Voinicică Loesel,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_251,Sisymbrium polymorphum (Murr.) Roth,Voinicică polimorfă,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_252,Sisymbrium officinale (L.) Scop. ,Voinicică medicinală,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_253,Sisymbrium strictissimum L.,Voinicică rigidă,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_254,Thlaspi arvense L. ,Punguliță campestră,Magnoliopsida,Brassicaceae,,, ,+, , ,,,,,C
P_255,Turritis glabra L.,Turicel glabru,Magnoliopsida,Brassicaceae,,, +, , , ,,,,,C
P_256,Butomus umbellatus L.,Roșețea umbelată,Magnoliopsida,Butomaceae,,, , , ,+,,,,,R
P_257,Campanula glomerata L.,Clopoțel glomerat,Magnoliopsida,Campanulaceae,,, +,+, , ,,,,,C
P_258,Campanula macrostachya Waldst.et Kit.,Clopoțel macrospicat,Magnoliopsida,Campanulaceae,,, +, , , ,,,,,C
P_259,Campanula persicifolia L.,Clopoțel persicifoliu,Magnoliopsida,Campanulaceae,,, +, , , ,,,,,C
P_260,Campanula rapunculoides L.,Clopoțel rapioid,Magnoliopsida,Campanulaceae,,, +, , , ,,,,,C
P_261,Campanula rapunculus L.,Clopoțel rapiform,Magnoliopsida,Campanulaceae,,, +, , , ,,,,,C
P_262,Campanula sibirica L.,Clopoțel siberian,Magnoliopsida,Campanulaceae,,, ,+,+, ,,,,,C
P_263,Campanula trachelium L.,Clopoțel rugos,Magnoliopsida,Campanulaceae,,, +, , , ,,,,,C
P_264,Humulus lupulus L.,Hamei comun,Magnoliopsida,Cannabaceae,,, +,+, , ,,,,,C
P_265,Cannabis ruderalis Janish.,Cânepă ruderală,Magnoliopsida,Cannabaceae,,,+,+, , ,,,,,C
P_266,Sambucus ebulus L.,Boz,Magnoliopsida,Caprifoliaceae,,, +, , , ,,,,,C
P_267,Sambucus nigra L.,Soc negru,Magnoliopsida,Caprifoliaceae,,, +, , , ,,,,,C
P_268,Viburnum lantana L.,Dârmoz,Magnoliopsida,Caprifoliaceae,,, +, , , ,,,,,C
P_269,Viburnum opulus L.,Călin comun,Magnoliopsida,Caprifoliaceae,,, +, , , ,,,,,R
P_270,Gypsophila collina Steven ex Ser. ,Gipsoriță colinară,Magnoliopsida,Cariophilaceae,,, , ,+, ,,,,, R
P_271,Paronychia cephalotes (M.Bieb.) Besser,Paronichie capitată,Magnoliopsida,Cariophilaceae,,, , ,+, ,,,,,RR
P_272,Arenaria serpyllifolia L.,Studeniță serpelifolie,Magnoliopsida,Cariophilaceae,,, ,+, , ,,,,,C
P_273,Agrostemma gitchago L.,Neghină comună,Magnoliopsida,Cariophilaceae,,, ,+, , ,,,,,C
P_274,Cerastium holosteoides Fries. ,Cănăriță holosteoidă,Magnoliopsida,Cariophilaceae,,, ,+, , ,,,,,C
P_275,Cucubalus baccifer L. ,Pleșcaiță baciferă,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_276,Dianthus armeria L.,Garofiță armeroidă,Magnoliopsida,Cariophilaceae,,, ,+, , ,,,,,C
P_277,Dianthus deltoides L.,Garofiță deltoidă,Magnoliopsida,Cariophilaceae,,, ,+, , ,,,,,C
P_278,Dianthus membranaceus Borbas.,Garofiță membranacee,Magnoliopsida,Cariophilaceae,,, ,+, , ,,,,,C
P_279,Elisanthe noctiflora (L.) Willk.,Noctifloare noctifloră,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_280,Holosteum umbellatum L.,Cuișoriță umbelată,Magnoliopsida,Cariophilaceae,,, ,+, , ,,,,,C
P_281,Melandrium album (Miller) Garcke,Opaiță albă,Magnoliopsida,Cariophilaceae,,, ,+, , ,,,,,C
P_282,Minuartia setacea (Thuill.) Hayek,Mierluță setiformă,Magnoliopsida,Cariophilaceae,,, +,+, , ,,,,,C
P_283,Moehringia trinervia (L.) Clairv.,Merinană trinervată,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_284,Myosoton aquaticum (L.) Moench,Plescaiță acvatică,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_285,Silene exaltata Friv.,Cercei înalți,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_286,Saponaria officinalis L.,Săpunăriță medicinală,Magnoliopsida,Cariophilaceae,,, ,+, , ,,,,,C
P_287,Scleranthus annuus L.,Sincerică anuală,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_288,Silene chlorantha (Willd.) Ehrh.,Cercei verzui,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_289,Silene nutans L.,Cercei nutanți,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_290,Stellaria graminea L.,Rocoțel graminifoliu,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_291,Stellaria holostea L.,Steluță,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_292,Stellaria media (L.) Vill.,Rocoțel mediu,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_293,Steris viscaria (L.) Rafin.,Lipicioasă purpurie,Magnoliopsida,Cariophilaceae,,, +, , , ,,,,,C
P_294,Euonymus europaea L.,Salbă europeană,Magnoliopsida,Celastraceae,,,+,,,,,,,,C
P_295,Euonymus verrucosa  Scop.,Salbă râioasă,Magnoliopsida,Celastraceae,,,+,,,,,,,,C
P_296,Ceratophyllum demersum L.,Cosor demers,Magnoliopsida,Ceratophyllaceae,,,+,,,,,,,,C
P_297,Ceratophyllum submersum L.,Cosor submers,Magnoliopsida,Ceratophyllaceae,,,+,,,,,,,,C
P_298,Gleditsia triacanthos L.,Glădiță,Magnoliopsida,Cesalpinaceae,,,+,,,,,,,,C
P_299,Atriplex rosea L. ,Lobodă roză,Magnoliopsida,Chenopodiaceae,,, +, , , ,,,,,C
P_300,Atriplex nitens L.,Lobodă sagitată,Magnoliopsida,Chenopodiaceae,,, ,+, , ,,,,,C
P_301,Atriplex prostrata Boucher ex DC,Lobodă prostrată,Magnoliopsida,Chenopodiaceae,,, ,+, , ,,,,,C
P_302,Atriplex tatarica L. ,Lobodă tătărească,Magnoliopsida,Chenopodiaceae,,, +, , , ,,,,,C
P_303,Chenopodium album L. ,Tămâiță albă,Magnoliopsida,Chenopodiaceae,,, +,+, , ,,,,,C
P_304,Chenopodium hybridum L.,Tămâiță hibridă,Magnoliopsida,Chenopodiaceae,,, ,+, , ,,,,,C
P_305,Chenopodium urbicum L.,Tămâiță urbană,Magnoliopsida,Chenopodiaceae,,, ,+, , ,,,,,C
P_306,Helianthemum canum (L.) Hornem.,Mălăoae căruntă,Magnoliopsida,Cistaceae,,, , ,+, ,,,,,RR
P_307,Helianthemum nummularium (L.) Mill. ,Iarba osului,Magnoliopsida,Cistaceae,,, ,+,+, ,,,,, R
P_308,Calystegia sepium (L.) R. Br.,Cupa vacii,Magnoliopsida,Convolvulaceae,,, +, ,,,,,,,C
P_309,Convolvulus arvensis L.,Volbură campestră,Magnoliopsida,Convolvulaceae,,, ,+,,,,,,,C
P_310,Cornus mas L.,Corn,Magnoliopsida,Cornaceae,,, +,,,,,,,,C
P_311,Swida sanguinea (L.) Opiz.,Sânger,Magnoliopsida,Cornaceae,,, +,,,,,,,,C
P_312,Carpinus betulus L.,Carpen,Magnoliopsida,Corylaceae,,, +,,,,,,,,C
P_313,Corylus avellana L.,Alun,Magnoliopsida,Corylaceae,,, +,,,,,,,,C
P_314,Sedum acre L.,Șoaldină acră,Magnoliopsida,Crassulaceae,,, , ,+, ,,,,,C
P_315,Sedum maximum (L.) Hoffm.,Șoaldină maximă,Magnoliopsida,Crassulaceae,,, +, , , ,,,,,R
P_316,Sedum sexangulare  L.,Șoaldină hexagonală,Magnoliopsida,Crassulaceae,,, , ,+, ,,,,,C
P_317,Sempervivum ruthenicum (W. D. J. Koch) Schnittsp. et C.B.Lehm,Nevăstuică rusească,Magnoliopsida,Crassulaceae,,, , ,+, ,,,,,RR 
P_318,Bryonia alba L.,Mutătoare albă,Magnoliopsida,Cucurbitaceae,,, +, , , ,,,,,C
P_319,Echinocystis lobata (Michx.) Torrey et A. Gray,Bostanaș lobat,Magnoliopsida,Cucurbitaceae,,, +, , , ,,,,,C
P_320,Cuscuta europaea L.,Torțel european,Magnoliopsida,Cuscutaceae,,, ,+,,,,,,,C
P_321,Cuscuta campestris Yunck.,Torțel campestru,Magnoliopsida,Cuscutaceae,,, ,+,,,,,,,C
P_322,Bolboschoenus maritimus (L.) Palla,Pipirig maritim,Magnoliopsida,Cyperaceae,,, , , ,+,,,,,C
P_323,Carex acutiformis Ehrh.,Rogoz acutiform,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_324,Carex brevicollis DC.,Rogoz brevicolat,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_325,Carex contigua Hoppe,Rogoz adiacent,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_326,Carex digitata L.,Rogoz digitat,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_327,Carex distans L.,Rogoz distanțat,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_328,Carex  hirta L.,Rogoz hirt,Magnoliopsida,Cyperaceae,,, ,+, , ,,,,,C
P_329,Carex melanostachya Bieb. Ex Willd,Rogoz melanospiculat,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_330,Carex michellii Host.,Rogoz Micheli,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_331,Carex montana L. ,Rogoz montan,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_332,Carex otrubae Podp.,Rogoz otrub,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_333,Carex pilosa Scop.,Rogoz pilos,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_334,Carex praecox Schreb.,Rogoz precoce,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_335,Carex riparia Curt.,Rogoz riveran,Magnoliopsida,Cyperaceae,,, ,+, , ,,,,,C
P_336,Carex sylvatica Huds.,Rogoz silvatic,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_337,Carex stenophylla Wahlenb.,Rogoz angustifoliu,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_338,Carex vulpina L.,Rogoz vulpariu,Magnoliopsida,Cyperaceae,,, ,+, , ,,,,,C
P_339,Eleocharis palustris (L.) Roem. et Schult,Pipiriguț palustru,Magnoliopsida,Cyperaceae,,, , , ,+,,,,,C
P_340,Scirpus sylvaticus L.,Țipirig silvatic,Magnoliopsida,Cyperaceae,,, +, , , ,,,,,C
P_341,Dipsacus fullonum L.,Varga ciobanului,Magnoliopsida,Dipsacaceae,,, ,+,,,,,,,C
P_342,Dipsacus laciniatus L.,Scăiuș laciniat,Magnoliopsida,Dipsacaceae,,, ,+,,,,,,,C
P_343,Dipsacus pilosus L.,Scăiuș păros,Magnoliopsida,Dipsacaceae,,, ,+,,,,,,,C
P_344,Cephalaria transylvanica (L.)Roem,Sipică transilvăneană,Magnoliopsida,Dipsacaceae,,, ,+,,,,,,,C
P_345,Knautia arvensis (L.) Coult.,Călugăraș campestru,Magnoliopsida,Dipsacaceae,,, ,+,,,,,,,C
P_346,Scabiosa ochroleuca L.,Văduvele galbene,Magnoliopsida,Dipsacaceae,,, ,+,,,,,,,C
P_347,Elaeagnus angustifolia L.,Sălcioară mirositoare,Magnoliopsida,Elaeagnaceae,,,,,,,,,,,C
P_348,Euphorbia agraria Bieb.,Alior agrar,Magnoliopsida,Euphorbiaceae,,, ,+,+, ,,,,,C
P_349,Euphorbia amygdaloides L.,Alior amigdaloid,Magnoliopsida,Euphorbiaceae,,, +,+, , ,,,,,C
P_350,Euphorbia esula L.,Laptele câinelui,Magnoliopsida,Euphorbiaceae,,, ,+, , ,,,,,C
P_351,Euphorbia falcata L.,Alior falcat,Magnoliopsida,Euphorbiaceae,,, ,+, , ,,,,,C
P_352,Euphorbia helioscopia L.,Alior helioscopic,Magnoliopsida,Euphorbiaceae,,, ,+, , ,,,,,C
P_353,Euphorbia platyphyllos L.,Alior macrofil,Magnoliopsida,Euphorbiaceae,,, ,+, , ,,,,,C
P_354,Euphorbia stepposa Zoz.,Alior stepic,Magnoliopsida,Euphorbiaceae,,, ,+,+, ,,,,,C
P_355,Mercurialis perennis L.,Brei peren,Magnoliopsida,Euphorbiaceae,,, +, , , ,,,,,C
P_356,Astragalus albidus Waldst. et Kit.,Coșaci alburiu,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,R
P_357,Astragalus austriacus Jasq.,Coșaci austriac,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_358,Astragalus cicer L.,Coșaci năutiu,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_359,Astragalus corniculatus,Coșaci corniculat,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_360,Astragalus dasyanthus Pall.,Zăvăcustă,Magnoliopsida,Fabaceae,,, , , , ,,,,,R
P_361,Astragalus glycyphyllos L.,Coșaci glicifil,Magnoliopsida,Fabaceae,,, +,+, , ,,,,,C
P_362,Astragalus onobrychis L.,Unghia găii,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_363,Astragalus ponticus Pall.,Coșaci pontic,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_364,Astragalus pubiflorus D.C.,Coșaci pubiflor,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,R
P_365,Caragana frutex (L.)C.Koch,Salcâmaș pitic,Magnoliopsida,Fabaceae,,, ,+,+, ,,,,,C
P_366,Chamaecytisus austriacus (L.) Link,Drob austriac,Magnoliopsida,Fabaceae,,, ,+,+, ,,,,,C
P_367,Coronilla varia L.,Coroniște variată,Magnoliopsida,Fabaceae,,, +,+, , ,,,,,C
P_368,Dorycnium herbaceum Vill.,Sulițică ierbacee,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_369,Galega officinalis L.,Ciumărea medicinală,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_370,Genista tetragona Besser,Drobișor tetramuchiat,Magnoliopsida,Fabaceae,,, , ,+, ,,,,,RR
P_371,Glycyrrhiza echinata L. ,Reglisă echinată,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_372,Lathyrus aureus (Stev.) Brandza ,Linte aurie,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_373,Lathyrus hirsutus L.,Linte hirsută,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_374,Lathyrus niger (L.) Bernh.,Linte neagră,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_375,Lathyrus nissolia L.,Linte graminifolie,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_376,Lathyrus pannonicus (Jacq.),Linte panoniană,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_377,Lathyrus pratensis L.,Linte praticolă,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_378,Lathyrus sylvestris L.,Linte silvicolă,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_379,Lathyrus tuberosus L.,Linte tuberoasă,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_380,Lathyrus venetus (Miller) Wohlf.,Linte azurie,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_381,Lathyrus vernus (L.) Bernh,Linte vernală,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_382,Lotus corniculatus L.,Ghizdei corniculat,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_383,Lotus tenuis Waldst et Kit. ex Willd.,Ghizdei subțire,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_384,Medicago falcata L.,Lucernă falcată,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_385,Medicago lupulina L.,Lucerna lupului,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_386,Medicago romanica Prod.,Lucernă română,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_387,Medicago minima (L.) Bartalini,Lucernă minimă,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_388,Medicago sativa L.,Lucernă cultivată,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_389,Melilotus albus Medik,Sulfină albă,Magnoliopsida,Fabaceae,,, +,+, , ,,,,,C
P_390,Melilotus officinalis (L.) Pall.,Sulfină medicinală,Magnoliopsida,Fabaceae,,, +,+, , ,,,,,C
P_391,Onobrychis arenaria (Kit.) DC.,Sparcetă arenicolă,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_392,Onobrychis viciifolia Scop.,Sparcetă viciefolie,Magnoliopsida,Fabaceae,,,+ ,+, , ,,,,,C
P_393,Ononis arvensis L.,Lingoare campestră,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_394,Ononis spinosa L.,Lingoare spinoasă,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_395,Robinia pseudoacacia L.,Salcâm ,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_396,Trifolium alpestre L.,Trifoi alpin,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_397,Trifolium arvense L.,Papanași,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_398,Trifolium aureum Poll.,Auraș,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_399,Trifolium campestre Schreb.,Trifoi campestru,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_400,Trifolium dubium Sm.,Trifoi dubios,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_401,Trifolium fragiferum L. ,Trifoi fragifer,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_402,Trifolium hybridum L.,Trifoi hibrid,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_403,Trifolium medium L.,Trifoi mediu,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_404,Trifolium montanum L.,Trifoi montan,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_405,Trifolium ochroleucon Huds.,Trifoi alb-gălbui,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_406,Trifolium pratense L.,Trifoi praticol,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_407,Trifolium repens L.,Trifoi repent,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_408,Trigonella procumbens (Bess.) Reichneb.,Molotru procumbent,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_409,Trigonella monspeliaca L.,Molotru pitic,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_410,Vicia angustifolia Reichard,Măzăriche angustifolie,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_411,Vicia cracca L.,Bobușor păsăresc,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_412,Vicia dumetorum L. ,Măzăriche-de-crâng,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_413,Vicia grandiflora Scop.,Măzăriche grandifloră,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_414,Vicia hirsuta (L.) S.F. Gray,Cosiță,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_415,Vicia pannonica Crantz.,Borceag,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_416,Vicia sativa L.,Măzăriche cultivată,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_417,Vicia sepium L.,Măzăriche brun-închisă,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_418,Vicia sylvatica L.,Măzăriche silvicolă,Magnoliopsida,Fabaceae,,, +, , , ,,,,,C
P_419,Vicia tenuifolia Roth.,Măzăriche tenuifolie,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_420,Vicia tetrasperma (L.) Schreb.,Măzăriche tetraspermă,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_421,Vicia villosa Roth,Măzăriche lânoasă,Magnoliopsida,Fabaceae,,, ,+, , ,,,,,C
P_422,Quercus pubescens Willd. ,Stejar pufos,Magnoliopsida,Fagaceae,,, +, ,+, ,,,,,C
P_423,Quercus petraea (Mattuschka) Liebl.,Gorun,Magnoliopsida,Fagaceae,,, +, , , ,,,,,C
P_424,Quercus robur L.,Stejar pedunculat,Magnoliopsida,Fagaceae,,, +, , , ,,,,,C
P_425,Corydalis cava (L.) Schweigg et Korte,Brebenel găunos,Magnoliopsida,Fumariaceae,,, +, ,,,,,,,C
P_426,Corydalis marschalliana pers.,Brebenel Marșal,Magnoliopsida,Fumariaceae,,, +, ,,,,,,,C
P_427,Corydalis solida (L.) Clairv.,Brebenel plin,Magnoliopsida,Fumariaceae,,, +, ,,,,,,,C
P_428,Fumaria schleicheri Soy. Wiilem.,Fumăriță Șleicher,Magnoliopsida,Fumariaceae,,, +, ,,,,,,,C
P_429,Centaurium erythraea Rafn,Frigurică roșie,Magnoliopsida,Gentianaceae,,, ,+, , ,,,,,C
P_430,Centaurium  pulchellum (Sw.) Druce,Frigurică frumoasă,Magnoliopsida,Gentianaceae,,, ,+, , ,,,,,C
P_431,Gentiana cruciata L.,Ghințură cruciată,Magnoliopsida,Gentianaceae,,, ,+, , ,,,,,R
P_432,Erodium cicutarium L.,Priboi cicutifoliu,Magnoliopsida,Geraniaceae,,, +,+, , ,,,,,C
P_433,Geranium collinum Stephan,Geraniu colinar,Magnoliopsida,Geraniaceae,,, ,+, , ,,,,,C
P_434,Geranium columbinum L.,Geraniu columbin,Magnoliopsida,Geraniaceae,,, +, , , ,,,,,C
P_435,Geranium dissectum L.,Geraniu dispicat,Magnoliopsida,Geraniaceae,,, ,+, , ,,,,,C
P_436,Geranium palustre L.,Geraniu palustru,Magnoliopsida,Geraniaceae,,, , , ,+,,,,,C
P_437,Geranium phaeum L.,Geraniu brun-roșcat,Magnoliopsida,Geraniaceae,,, +, , , ,,,,,C
P_438,Geranium pratense L.,Geraniu praticol,Magnoliopsida,Geraniaceae,,, +, , , ,,,,,C
P_439,Geranium pussilum L.,Geraniu minuscul,Magnoliopsida,Geraniaceae,,, ,+, , ,,,,,C
P_440,Geranium robertianum L.,Geraniu Robert,Magnoliopsida,Geraniaceae,,, +, , , ,,,,,C
P_441,Geranium sanguineum L.,Geraniu sanguineu,Magnoliopsida,Geraniaceae,,, +, , , ,,,,,C
P_442,Myriophyllum spicatum L.,Prâsnel spicat,Magnoliopsida,Haloragaceae,,,+,,,,,,,,C
P_443,Hyacinthella leucophaea (K. Koch) Schur ,Zambilă albicioasă,Magnoliopsida,Hyacinthaceae,,, , ,+, ,,,,,R
P_444,Ornithogalum boucheanum (Kunth) Asch.,Lușcă,Magnoliopsida,Hyacinthaceae,,, ,+, , ,,,,,RR
P_445,Hypericum hirsutum L.,Sunătoare hirsută,Magnoliopsida,Hypericaceae,,, ,+, , ,,,,,C
P_446,Hypericum perforatum L.,Sunătoare perforată,Magnoliopsida,Hypericaceae,,,,+,,,,,,,C
P_447,Hypericum elegans Steph,Sunătoare elegantă,Magnoliopsida,Hypericaceae,,,,+,,,,,,,C
P_448,Crocus reticulatus Stev. ex Adam.,Șofrănel reticulat,Magnoliopsida,Iridaceae,,, ,+,+, ,,,,,R
P_449,Iris aphylla L.,Stânjenel afil,Magnoliopsida,Iridaceae,,, +, , , ,,,,,R
P_450,Iris graminea L.,Stânjenel gramineu,Magnoliopsida,Iridaceae,,, ,+, , ,,,,,C
P_451,Iris halophila Pall.,Stânjenel halofil,Magnoliopsida,Iridaceae,,, ,+, , ,,,,,C
P_452,Iris pseudacorus L.,Stânjenel galben,Magnoliopsida,Iridaceae,,, , , ,+,,,,,C
P_453,Iris pumila L. ,Stânjenel scund,Magnoliopsida,Iridaceae,,, , ,+, ,,,,,C
P_454,Iris variegata L.,Stânjenel vărgat,Magnoliopsida,Iridaceae,,, ,+,+, ,,,,,R
P_455,Juncus articulatus L.,Rugină articulată,Magnoliopsida,Juncaceae,,, +,,,,,,,,C
P_456,Juncus compressus Jacq.,Rugină turtită,Magnoliopsida,Juncaceae,,, +,,,,,,,,C
