ID,Denumirea_stiintifică,Denumirea_populară,Clasa,Familia,Habitat,Localitatea,Silvice,Pajisti_sau_stepice,Stancarii,Palustre_si_acvatice,P_rară,Conventia_Berna,Directiva_Habitate,RM_Cartea_R_2015,Frcevența
P_52,Alisma lanceolatum With.,Limbariță lanceolată,Magnoliopsida,Alismataceae,,,,,,,,,,,C
P_53,Alisma plantago-aquatica L.,Pătlagina apei,Magnoliopsida,Alismataceae,,,,,,+,,,,,C
P_54,Allium angulosum L.,Ceapă muchiată,Magnoliopsida,Alliaceae,,, ,+, , ,,,,,C
P_55,Allium paniculatum L.,Ceapă paniculată,Magnoliopsida,Alliaceae,,, ,+, , ,,,,,C
P_56,Allium inaequale Janka,Ceapă inegală,Magnoliopsida,Alliaceae,,, , ,+, ,,,,,RR
P_57,Allium rotundum L.,Pur,Magnoliopsida,Alliaceae,,, ,+, , ,,,,,C
P_58,Allium scorodoprasum L.,Aiul șarpelui,Magnoliopsida,Alliaceae,,, ,+, , ,,,,,C
P_59,Allium sphaerocephalon L.,Ceapă sferocapitată,Magnoliopsida,Alliaceae,,, , ,+, ,,,,,C
P_60,Allium ursinum L.,Leurdă,Magnoliopsida,Alliaceae,,, +, , , ,,,,,C
P_61,Galanthus nivalis L.,Ghiocel nival,Magnoliopsida,Amaryllidaceae,,,+,,,,,,,,RR
P_62,Cotinus coggygria Scop.,Scumpie,Magnoliopsida,Anacardiaceae,,,,,+,,,,,,C
P_63,Vinca herbacea Waldst. et Kit.,Brebenoc erbaceu,Magnoliopsida,Apocynaceae,,,,+,,,,,,,C
P_64,Vinca minor L.,Brebenoc minor,Magnoliopsida,Apocynaceae,,,+,,,,,,,,C
P_65,Arum orientale Bieb.,Aron oriental,Magnoliopsida,Araceae,,, +, , , ,,,,,R
P_66,Hedera helix L.,Iederă,Magnoliopsida,Araliaceae,,, +, , , ,,,,,C
P_67,Aristolochia clematitis L.,Curcubețică curpenoidă,Magnoliopsida,Aristolochiaceae,,, ,+, , ,,,,,C
P_68,Asarum europaeum L.,Popivnic european,Magnoliopsida,Aristolochiaceae,,, +, , , ,,,,,C
P_69,Vincetoxicum hirundinaria Medik.,Rânduniță,Magnoliopsida,Asclepiadaceae,,, ,+,+, ,,,,,C
P_70,Asparagus officinalis L.,Sparanghel medicinal,Magnoliopsida,Asparagaceae,,, ,+, , ,,,,,C
P_71,Asparagus tenuifolius Lam.,Umbra iepurelui,Magnoliopsida,Asparagaceae,,, +, , , ,,,,,C
P_72,Asparagus verticillatus L.,Sparanghel verticilat,Magnoliopsida,Asparagaceae,,, +, ,+, ,,,,,R
P_73,Achillea collina Becker,Alunică colinară,Magnoliopsida,Asteraceae,,, ,+,+, ,,,,,C
P_74,Achillea millefolium L.,Coada șoricelului,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_75,Achillea nobilis L.,Alunică nobilă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_76,Achillea pannonica Scheele,Alunică panoniană,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_77,Achillea setacea Waldst. et Kit.,Alunică setacee,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_78,Achyrophorus maculatus (L.) Scop.,Amărea pătată,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_79,Ambrosia artemisifolia L.,Venetică artemisifolie,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_80,Anthemis cotula L.,Romanița câinelui,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_81,Anthemis ruthenica Bieb.,Romaniță rusească,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_82,Anthemis subtinctoria Dobrocz.,Romaniță subtinctorială,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_83,Arctium lappa L.,Brusture mare,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_84,Arctium tomentosum Mill.,Brusture tomentos,Magnoliopsida,Asteraceae,,, +, , , ,,,,,C
P_85,Artemisia absinthium L.,Pelin alb,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_86,Artemisia annua L.,Pelin anual,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_87,Artemisia austriaca Jacq.,Pelin austriac,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_88,Artemisia campestris L.,Pelin campestru,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_89,Artemisia vulgaris L.,Pelin comun,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_90,Aster amellus L.,Steluță,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_91,Bidens cernua L.,Dentiță nutantă,Magnoliopsida,Asteraceae,,, ,+, ,+,,,,,C
P_92,Bidens tripartita L.,Dentiță tripartită,Magnoliopsida,Asteraceae,,, ,+, ,+,,,,,C
P_93,Carduus crispus L.,Spin crispat,Magnoliopsida,Asteraceae,,, +,+, , ,,,,,C
P_94,Carduus hamulosus Ehrh.,Spin hamulos,Magnoliopsida,Asteraceae,,, +,+, , ,,,,,C
P_95,Carduus nutans L.,Spin nutant,Magnoliopsida,Asteraceae,,, +,+, , ,,,,,C
P_96,Carlina biebersteinii Bernh ex Hornem.,Turtacă Bieberștein,Magnoliopsida,Asteraceae,,, , ,+, ,,,,,C
P_97,Carlina vulgaris L.,Turtacă comună,Magnoliopsida,Asteraceae,,, , ,+, ,,,,,C
P_98,Carpesium cernuum L.,Dosnică nutantă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_99,Carthamus lanatus L.,Pintenoagă lânoasă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_100,Centaurea apiculata Ledeb.,Albăstriță apiculată,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_101,Centaurea  biebersteinii DC.,Albăstriță Bieberștein,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_102,Centaurea diffusa Lam.,Albăstriță difuză,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_103,Centaurea iberica Trv. ex Spreng.,Albăstriță iberică,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_104,Centaurea jacea L.,Albăstriță praticolă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_105,Centaurea marschalliana Spreng,Albăstriță Marșal,Magnoliopsida,Asteraceae,,, , ,+, ,,,,, R
P_106,Centaurea orientalis L.,Albăstriță orientală,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_107,Centaurea pseudomaculosa Dobrocz.,Albăstriță pseudomaculată,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_108,Centaurea × pulberiana Pînzaru ,Albăstriță Pulbere,Magnoliopsida,Asteraceae,,, , ,+, ,,,,,R 
P_109,Centaurea ruthenica Lam.,Albăstriță rusească,Magnoliopsida,Asteraceae,,, , , , ,,,,,R
P_110,Centaurea scabiosa L.,Albăstriță scabioasă,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_111,Centaurea solstitialis L.,Scai galben,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_112,Centaurea stereophylla Bess,Albăstriță rigidifolie,Magnoliopsida,Asteraceae,,, , , , ,,,,,C
P_113,Chamomilla recutita L.,Mușețel,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_114,Chamomilla suaveolens (Pursh.) Rydb.,Mușețea,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_115,Chondrilla juncea L.,Răsfug junceu,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_116,Cichorium intybus L.,Cicoare comună,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_117,Cirsium arvense (L.) Scop.,Pălămidă campestră,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_118,Cirsium canum  (L.) All.,Pălămidă cenușie,Magnoliopsida,Asteraceae,,, , , , ,,,,,R
P_119,Cirsium oleraceum (L.) Scop.,Pălămidă oleracee,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
P_120,Cirsium vulgare (Savi)Ten.,Pălămidă comună,Magnoliopsida,Asteraceae,,, ,+, , ,,,,,C
